2025-12-14 10:14:17.532 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Node -1 disconnected.
2025-12-14 10:14:16.555 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Node -1 disconnected.
2025-12-14 10:14:18.204 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Disconnecting from node 2 due to request timeout.
2025-12-14 10:14:18.205 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Cancelled in-flight FETCH request with correlation id 195 due to node 2 being disconnected (elapsed time since creation: 39129856ms, elapsed time since send: 39129856ms, throttle time: 0ms, request timeout: 30000ms)
2025-12-14 10:14:18.206 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Disconnecting from node 3 due to request timeout.
2025-12-14 10:14:18.207 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Cancelled in-flight FETCH request with correlation id 194 due to node 3 being disconnected (elapsed time since creation: 39128901ms, elapsed time since send: 39128901ms, throttle time: 0ms, request timeout: 30000ms)
2025-12-14 10:14:18.207 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Disconnecting from node 2147483645 due to request timeout.
2025-12-14 10:14:18.207 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Cancelled in-flight HEARTBEAT request with correlation id 195 due to node 2147483645 being disconnected (elapsed time since creation: 39128101ms, elapsed time since send: 39128101ms, throttle time: 0ms, request timeout: 30000ms)
2025-12-14 10:14:18.213 [kafka-coordinator-heartbeat-thread | payment-processor-group] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Group coordinator localhost:29092 (id: 2147483645 rack: null) is unavailable or invalid due to cause: null. isDisconnected: true. Rediscovery will be attempted.
2025-12-14 10:14:18.212 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Error sending fetch request (sessionId=1317445388, epoch=157) to node 3:
org.apache.kafka.common.errors.DisconnectException: null
2025-12-14 10:14:18.213 [kafka-coordinator-heartbeat-thread | ticketmaster-processor-group] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Error sending fetch request (sessionId=1221856122, epoch=158) to node 2:
org.apache.kafka.common.errors.DisconnectException: null
2025-12-14 10:14:18.220 [kafka-coordinator-heartbeat-thread | ticketmaster-processor-group] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Group coordinator localhost:19092 (id: 2147483646 rack: null) is unavailable or invalid due to cause: session timed out without receiving a heartbeat response. isDisconnected: false. Rediscovery will be attempted.
2025-12-14 10:14:18.221 [kafka-coordinator-heartbeat-thread | ticketmaster-processor-group] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Requesting disconnect from last known coordinator localhost:19092 (id: 2147483646 rack: null)
2025-12-14 10:14:18.221 [kafka-coordinator-heartbeat-thread | ticketmaster-processor-group] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Client requested disconnect from node 2147483646
2025-12-14 10:14:18.324 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Discovered group coordinator localhost:19092 (id: 2147483646 rack: null)
2025-12-14 10:14:18.822 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Discovered group coordinator localhost:29092 (id: 2147483645 rack: null)
2025-12-14 10:14:21.896 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=10h52m36s122ms619µs300ns).
2025-12-14 10:16:07.130 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Node 3 disconnected.
2025-12-14 10:16:07.131 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Cancelled in-flight FETCH request with correlation id 446 due to node 3 being disconnected (elapsed time since creation: 127ms, elapsed time since send: 126ms, throttle time: 0ms, request timeout: 30000ms)
2025-12-14 10:16:07.131 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Error sending fetch request (sessionId=1583232250, epoch=207) to node 3:
org.apache.kafka.common.errors.DisconnectException: null
2025-12-14 10:16:07.163 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-ticketmaster-processor-group-1, groupId=ticketmaster-processor-group] Node 3 disconnected.
2025-12-14 10:16:07.195 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Node 3 disconnected.
2025-12-14 10:16:07.195 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Cancelled in-flight API_VERSIONS request with correlation id 449 due to node 3 being disconnected (elapsed time since creation: 17ms, elapsed time since send: 17ms, throttle time: 0ms, request timeout: 30000ms)
2025-12-14 10:16:07.195 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Error sending fetch request (sessionId=1583232250, epoch=INITIAL) to node 3:
org.apache.kafka.common.errors.DisconnectException: null
2025-12-14 10:16:07.210 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-payment-processor-group-2, groupId=payment-processor-group] Node 2147483645 disconnected.
